 select hdr.[year], pos.RegArea, hal.frklen, hal.bbage, hal.srfage
from stlHeader hdr, stlHalibut hal, stlStationPositions pos
where hdr.[year] between 1998 and 2011 and hdr.stlkey = hal.stlkey and STR(hdr.stnno,4,0) = pos.Station and
      hdr.[year] = pos.[Year] and hdr.prpcde IN ('SG','ES','BG','DE','SE') and
      (hal.srfage IS NOT NULL or hal.bbage IS NOT NULL)

	
year,area,length,bbage,srfage
1998,3A,88,NULL,10
1998,3A,78,NULL,10
1998,3A,86,NULL,10
1998,3A,94,NULL,11
1998,3A,82,NULL,10
1998,3A,75,NULL,8
1998,3A,89,NULL,8
1998,3A,93,NULL,11
1998,3A,99,NULL,10
1998,3A,78,NULL,9
1998,3A,109,NULL,11
1998,3A,128,NULL,11
1998,3A,83,NULL,11
1998,3A,139,NULL,14
1998,3A,133,NULL,12
1998,3A,103,16,16
1998,3A,98,NULL,14
1998,3A,75,NULL,8
1998,3A,103,NULL,11
1998,3A,109,NULL,9
1998,3A,101,NULL,11
1998,3A,158,NULL,15
1998,3A,137,NULL,17
1998,3A,79,NULL,11
1998,3A,65,NULL,7
1998,3A,96,18,16
1998,3A,125,NULL,11
1998,3A,73,NULL,11
1998,3A,78,NULL,9
1998,3A,92,NULL,12
1998,3A,75,NULL,8
1998,3A,71,NULL,10
1998,3A,98,NULL,9
1998,3A,142,NULL,16
1998,3A,98,NULL,11
1998,3A,114,15,12
1998,3A,126,NULL,13
1998,3A,78,NULL,8
1998,3A,83,NULL,17
1998,3A,125,NULL,13
1998,3A,122,16,15
1998,3A,99,NULL,15
1998,3A,137,15,14
1998,3A,137,NULL,14
1998,3A,102,NULL,10
1998,3A,109,15,15
1998,3A,99,NULL,11
1998,3A,109,NULL,15
1998,3A,83,15,12
1998,3A,75,NULL,9
1998,3A,97,NULL,15
1998,3A,133,NULL,15
1998,3A,92,NULL,12
1998,3A,93,NULL,11
1998,3A,120,NULL,14
1998,3A,123,NULL,14
1998,3A,79,NULL,10
1998,3A,113,NULL,13
1998,3A,79,NULL,11
1998,3A,134,NULL,13
1998,3A,81,NULL,10
1998,3A,76,NULL,12
1998,3A,83,14,13
1998,3A,78,14,15
1998,3A,75,NULL,11
1998,3A,82,NULL,10
1998,3A,73,NULL,10
