"","age","len","n","sd","se","weight","reg","year","sex"
"1711",19,157.923076923077,13,23.4501653812986,1.80385887548451,41.6634328016393,"2B","1980s","F"
"181",20,166.909090909091,11,27.6096162430938,2.50996511300853,49.8455610673884,"2B","1980s","F"
"291",3,NA,0,NA,NA,NA,"2C","1980s","F"
"301",4,57.25,4,3.40342964277702,0.850857410694256,1.55590797407648,"2C","1980s","F"
"314",5,62.7179487179487,39,12.3904647505307,0.317704224372581,2.09093674952325,"2C","1980s","F"
"322",6,67.3897058823529,136,10.3165977697341,0.0758573365421629,2.63896999969308,"2C","1980s","F"
"332",7,76.9674556213018,338,13.0482603422052,0.0386043205390687,4.05906883936013,"2C","1980s","F"
"342",8,85.4676113360324,494,13.1233021141813,0.0265653888951037,5.6993901935091,"2C","1980s","F"
"352",9,94.3,580,13.8565186395534,0.0238905493785403,7.83807112664404,"2C","1980s","F"
"362",10,103.524105754277,643,15.7767908108038,0.0245362221007836,10.6053678312328,"2C","1980s","F"
"372",11,112.6736,625,16.5061864082407,0.0264098982531851,13.9538852837937,"2C","1980s","F"
"382",12,121.591059602649,604,16.3679697590424,0.0270992876805337,17.8596374892369,"2C","1980s","F"
"392",13,129.194852941176,544,17.1868373115566,0.0315934509403614,21.738311231757,"2C","1980s","F"
"402",14,135.352941176471,425,18.692084064097,0.0439813742684634,25.2782296426502,"2C","1980s","F"
"412",15,140.444866920152,263,19.0444388479115,0.0724123150110703,28.4911735046438,"2C","1980s","F"
"422",16,147.507317073171,205,19.4783991753246,0.0950165813430468,33.4000612231433,"2C","1980s","F"
"432",17,151.751879699248,133,18.5555701083536,0.139515564724463,36.6155643667379,"2C","1980s","F"
"442",18,158.385826771654,127,21.1164748907346,0.166271455832556,42.0602819248748,"2C","1980s","F"
"452",19,160.519480519481,77,21.7592148595839,0.282587205968622,43.9239320861688,"2C","1980s","F"
"461",20,166.333333333333,57,22.4183704433068,0.393304744619418,49.2906128820042,"2C","1980s","F"
"571",3,41.5,2,14.8492424049175,7.42462120245875,0.548614332154253,"3A","1980s","F"
"581",4,49.4390243902439,41,9.01123959421734,0.219786331566277,0.967336924549696,"3A","1980s","F"
"591",5,60.1696428571429,112,8.86626198987497,0.0791630534810265,1.82799162173441,"3A","1980s","F"
"601",6,69.0084985835694,353,8.69217492010011,0.0246237249861193,2.84993969423996,"3A","1980s","F"
"614",7,79.4556962025316,474,11.1680957568207,0.0235613834532082,4.49983341882048,"3A","1980s","F"
"622",8,89.5737527114968,922,12.6934748947225,0.0137673263500244,6.63524569266022,"3A","1980s","F"
"632",9,98.3335843373494,1328,14.4184221872984,0.0108572456229657,8.97729246408061,"3A","1980s","F"
"642",10,110.490262489416,1181,15.9350146920587,0.0134928151499227,13.0966762818268,"3A","1980s","F"
"652",11,120.864111498258,1148,16.518695687941,0.0143891077421089,17.5159934603152,"3A","1980s","F"
"662",12,129.566536203523,1022,16.4611249378513,0.016106775868739,21.9415925069812,"3A","1980s","F"
"672",13,138.505194805195,770,15.4780972485427,0.0201014249981073,27.2358766133905,"3A","1980s","F"
"682",14,145.901041666667,576,16.6816410085798,0.0289611823065621,32.2359525340144,"3A","1980s","F"
"692",15,153.4125,400,16.8917337898176,0.042229334474544,37.9297636675272,"3A","1980s","F"
"702",16,157.24358974359,234,19.9765007208433,0.0853696612001849,41.085414538324,"3A","1980s","F"
"713",17,164.514792899408,169,18.8193500054989,0.111357100624254,47.5658618508423,"3A","1980s","F"
"722",18,168.943925233645,107,18.0757482559706,0.168932226691314,51.8414662090425,"3A","1980s","F"
"732",19,172.872093023256,86,18.9983259396425,0.220910766740029,55.8495862259855,"3A","1980s","F"
"741",20,182.530303030303,66,17.4349072459819,0.264165261302755,66.6065031979728,"3A","1980s","F"
"851",3,NA,0,NA,NA,NA,"3B","1980s","F"
"861",4,45,1,NA,NA,0.713181157322715,"3B","1980s","F"
"871",5,56.5625,16,7.41142136615283,0.463213835384552,1.49618042529893,"3B","1980s","F"
"881",6,66.75,36,8.30963296421689,0.230823137894914,2.55866501276186,"3B","1980s","F"
"891",7,78.855421686747,83,12.0528637727674,0.145215226177921,4.39061710783694,"3B","1980s","F"
"901",8,87.1840490797546,163,16.5410970659665,0.101479123104089,6.07865239613918,"3B","1980s","F"
"914",9,99.6949806949807,259,17.3931849207002,0.0671551541339775,9.38626447272689,"3B","1980s","F"
"922",10,112.795,200,19.1975442053818,0.0959877210269089,14.0026561729455,"3B","1980s","F"
"932",11,121.751633986928,153,21.1511729940221,0.138242960745242,17.9361679812124,"3B","1980s","F"
"942",12,132.850877192982,114,22.0743844886139,0.193634951654508,23.7953478030883,"3B","1980s","F"
"952",13,144.946428571429,56,20.8059603722824,0.371535006647901,31.5575789309285,"3B","1980s","F"
"962",14,145.916666666667,36,21.0202283527083,0.583895232019674,32.2471391631816,"3B","1980s","F"
"972",15,158.409090909091,22,17.1815490484888,0.780979502204038,42.080301703561,"3B","1980s","F"
"982",16,140.777777777778,9,27.2845092395748,3.03161213773054,28.7105701700034,"3B","1980s","F"
"992",17,179.142857142857,7,12.5356634105602,1.79080905865145,62.6841417888763,"3B","1980s","F"
"1002",18,182.75,4,5.31507290636732,1.32876822659183,66.8666006423289,"3B","1980s","F"
"1012",19,185.833333333333,6,7.46770826068257,1.24461804344709,70.5914064496323,"3B","1980s","F"
"1021",20,190,4,9.76387901058454,2.44096975264613,75.8495455006508,"3B","1980s","F"
"115",3,54,1,NA,NA,1.28749958440542,"Full","1980s","M"
"24",4,52.469387755102,49,11.1357196310198,0.227259584306527,1.17296956795052,"Full","1980s","M"
"315",5,56.8010471204189,191,7.33428853887357,0.038399416433893,1.51672157177404,"Full","1980s","M"
"413",6,63.2226277372263,548,7.05435146686233,0.0128729041366101,2.14594384715411,"Full","1980s","M"
"515",7,69.2518867924528,1060,8.09876162011383,0.00764034115105078,2.88263551791507,"Full","1980s","M"
"615",8,75.9973941368078,1535,10.0626456787028,0.00655546949752624,3.89564260777896,"Full","1980s","M"
"714",9,81.8123689727463,1908,11.1943040260813,0.00586703565308243,4.94680479571326,"Full","1980s","M"
"815",10,89.7239583333333,1728,13.1943147230321,0.00763559879805101,6.67136362613627,"Full","1980s","M"
"915",11,95.339755940912,1557,13.7250186505663,0.00881504088026093,8.12155503933601,"Full","1980s","M"
"1013",12,99.6103216155572,1337,14.3313017814077,0.0107189990885622,9.36046416155876,"Full","1980s","M"
"116",13,103.814853556485,956,14.8072512687399,0.0154887565572593,10.7021758249352,"Full","1980s","M"
"124",14,107.636098981077,687,15.6590413317809,0.0227933643839605,12.0319237699194,"Full","1980s","M"
"134",15,109.665306122449,490,14.8531399807755,0.0303125305730111,12.7824970964772,"Full","1980s","M"
"144",16,115.334328358209,335,16.3236864767509,0.0487274223186593,15.0500225329426,"Full","1980s","M"
"154",17,116.277511961722,209,16.2350381277863,0.0776796082669199,15.4524548122645,"Full","1980s","M"
"164",18,121.75572519084,131,17.65920618612,0.134803100657405,17.938120824283,"Full","1980s","M"
"174",19,123.245098039216,102,16.0441447167888,0.157295536439106,18.6588552978413,"Full","1980s","M"
"183",20,125,52,16.0843365530861,0.309314164482425,19.5334861010082,"Full","1980s","M"
"191",3,54,1,NA,NA,1.28749958440542,"2B","1980s","M"
"213",4,59.7,10,8.40700765895796,0.840700765895796,1.78216597775317,"2B","1980s","M"
"3103",5,59.3050847457627,59,5.99785662086203,0.101658586794272,1.74425176705716,"2B","1980s","M"
"443",6,64.5647058823529,170,6.67672289459491,0.0392748405564406,2.29707771809198,"2B","1980s","M"
"510",7,69.8057324840764,314,7.33261558918002,0.0233522789464332,2.95800185973735,"2B","1980s","M"
"693",8,74.6529126213592,412,8.22839521695215,0.0199718330508547,3.67673904522581,"2B","1980s","M"
"715",9,78.7479892761394,373,8.77286735288312,0.0235197516163086,4.37126574652103,"2B","1980s","M"
"810",10,84.5351681957187,327,9.27913180267964,0.0283765498552894,5.50037830002836,"2B","1980s","M"
"943",11,87.2926829268293,246,10.271602785979,0.0417544828698334,6.10322699366878,"2B","1980s","M"
"1014",12,90.3636363636364,209,9.02996178232277,0.0432055587670946,6.82670130589558,"2B","1980s","M"
"1113",13,94.4933333333333,150,11.3514606969877,0.0756764046465849,7.89025618713606,"2B","1980s","M"
"1213",14,96.3934426229508,122,11.3658596930807,0.0931627843695139,8.41598953446577,"2B","1980s","M"
"1313",15,99.3260869565217,92,12.2976891384602,0.133670534113698,9.27420076541538,"2B","1980s","M"
"1413",16,101.5,56,9.79981446948684,0.174996686955122,9.94812635070408,"2B","1980s","M"
"1513",17,105.62962962963,27,14.3101581675615,0.530005858057833,11.3202799859721,"2B","1980s","M"
"1613",18,110.277777777778,18,18.2524955765299,1.01402753202944,13.0152482189601,"2B","1980s","M"
"1712",19,110.571428571429,21,10.5951471371163,0.504530816053155,13.1278733626618,"2B","1980s","M"
